solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
CCCCCCC(C)(C)[Si](OC)(OC)O[Si](OC)(OC)C(C)(C)CCCCCC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.0341771323920668e-06,0.0007876888306247431,1.2022300628318019e-07,-9.222577958183973e-08,-0.7671225536034744,2.799722670134044e-08
COCCOCCO[Si](C)(C)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.5014577410780384e-06,0.0011739877151134592,1.2023955431255399e-07,-9.224405682278447e-08,-0.7671689848666833,2.7995497489769508e-08
COCC(C)(C)N(OC)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.3526987227010106e-06,0.0011315939642150901,1.1882230867247289e-07,-9.083127878375292e-08,-0.7644295065342006,2.799102988871999e-08
CO[Si](C)(OC)C(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Li+].F[P-](F)(F)(F)(F)F,9.912848734186778e-07,0.0007792557321525174,1.1968386304600758e-07,-9.170426425692611e-08,-0.7662207913666201,2.7979598789081478e-08
[CH]C(C)CCC(C)(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1589120574797245e-06,0.001088647211030115,1.2116431843124557e-07,-9.319405486711166e-08,-0.7691542862925806,2.797026356413391e-08
COC(COCCC[Si](C)(OC)OC)CN(C)CCN(C)CCC[Si](OC)(OC)OC,[Li+].F[P-](F)(F)(F)(F)F,6.583014700996416e-07,0.0006998288449570759,1.19657997558249e-07,-9.169040606119924e-08,-0.7662706039900489,2.7967591497049728e-08
CO[Si](C)(OC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.6836921582451853e-06,0.0009619846594056345,1.2095329747897858e-07,-9.298941002683062e-08,-0.7688042572216105,2.7963887452147976e-08
CCCC(C)(COC)C(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.0711713326708937e-06,0.0010674910028716784,1.211188099107389e-07,-9.315980077212817e-08,-0.7691604701266821,2.7959009138610737e-08
CCCOCCOC(C)(C)COC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.4094868129197173e-06,0.0011552343217112891,1.2134605653898964e-07,-9.339090162021907e-08,-0.7696245290856377,2.7955154918770584e-08
CO[Si](OC)(OCOC(C)C)C(F)(F)C(F)(F)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.8159887678264986e-06,0.0009982620141694343,1.2093416286920006e-07,-9.29843504756005e-08,-0.7688840627786087,2.7949812393599576e-08
COCC(COC)(COC)COC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.321715679999295e-06,0.0013626373375008034,1.0669861597047113e-07,-7.875728919627127e-08,-0.7381284984808741,2.7941326774199863e-08
COP(=O)(CCN(CCN(CCP(=O)(OC)OC)CCP(=O)(OC)OC)CCP(=O)(OC)OC)OC,[Li+].F[P-](F)(F)(F)(F)F,5.885469129120476e-07,0.000688644332881977,1.1983086724312586e-07,-9.189594470880387e-08,-0.766880410890755,2.7934922534322002e-08
