solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,norm_capacity_3_avg_pred,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
CCCOP(=O)(OC)OOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.9767744642206524,-1.3075741952001525,0.8173518433821791,0.3414829417833166,-0.2583524061741171,0.456096735320307,0.319157737310356,0.2671961447941587,-0.3379899213834332,-0.3011644795994981,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,184.050060146,186.93968547,1.0,0.0,150,50,2,0.2720123468041743,5000.0,1.3298662889176957e-06,0.0007436365267966806,4.82132173515641e-09,-4.353497823144289e-09,-9.305847160355293,4.678239120121197e-10
COP(C)(=O)OP=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.6077690682316459,-1.121286541126742,1.2181499335284158,-0.415342615331457,-0.1368304735486169,0.0491926813203515,0.3815724528926654,0.5033162635225871,-0.8443895405062123,-0.4425891289764671,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,155.974131932,186.93968547,1.0,0.0,150,50,2,0.309743862933013,2503.0,1.5080807587648188e-06,0.0008089281442876856,5.8409931628817435e-09,-5.293871204948808e-09,-9.675852208435225,5.471219579329365e-10
COCCOOC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8929066633980602,-0.6596540591563793,1.221912384039514,-0.2657521257959282,-0.1790324641824272,0.2954219778799476,0.5369292444820186,0.5231957451052995,-0.927456452339762,-0.4270554842242544,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,120.042258736,186.93968547,1.0,0.0,150,50,2,0.3110377163961243,2444.0,1.5086764747042404e-06,0.0008098098046273787,6.796639201871162e-09,-6.125661118472567e-09,-9.129450380026217,6.709780833985951e-10
COCCOOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8673860477363724,-1.0410677136677693,1.0835395212843153,-0.400942040496906,-0.2254660907337378,0.3042332245708277,0.7837840105382532,0.5994851574456724,-0.7936026251608976,-0.450188076879689,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,110.037922304,186.93968547,1.0,0.0,150,50,2,0.3873156146811606,594.0,1.8994844929892568e-06,0.0009601333615308101,1.6829147543421794e-08,-1.4823002434703639e-08,-7.388798731600699,2.0061451087181534e-09
COCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8796086372019527,-0.6516014718673413,1.2803818120757038,-0.3950840621481992,0.3041718514011582,0.0695913612327708,0.7416844918548551,0.2618747819158541,-0.4860998770577568,-0.3119485865868805,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,154.039495462,186.93968547,1.0,0.0,150,50,2,0.2802023998447909,4339.0,1.3630530673706034e-06,0.000755884790894389,5.055740729489681e-09,-4.568247784029802e-09,-9.370900290096138,4.874929454598792e-10
COCCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.0466203582531373,-1.064656127286557,0.993637769754686,-0.0426869296527712,-0.4134748286527083,0.534218827606026,0.6298633114697134,0.690216540160802,-1.0480509462014451,-0.4850187281203889,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,102.06807956,186.93968547,1.0,0.0,150,50,2,0.3662408549790702,876.0,1.772657905628432e-06,0.0009152978535384687,1.5499957640086952e-08,-1.3640895733568628e-08,-7.3375155963017304,1.8590619065183234e-09
FCOCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.576013279751073,-1.6477011573014648,0.6888887977462199,-0.3199866475482396,0.2690257963465249,-0.0353571399211381,0.3458694037375197,0.2561174101647643,-0.6916033454037691,-0.493548698413148,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,112.033585872,186.93968547,1.0,0.0,150,50,2,0.2728874583605305,4912.0,1.323710549972259e-06,0.0007405781159358914,3.2927967946066768e-09,-3.0168702635744005e-09,-10.9335997966122,2.759265310322758e-10
CCOP(C)(=O)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.0426036649897723,-0.6194295889265187,0.942517187054481,0.1504999851724391,-0.1931089304067246,0.4720300784545235,0.4334311902959187,0.4855685385948054,-0.6602434988822119,-0.3613244591360632,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,182.07079559,186.93968547,1.0,0.0,150,50,2,0.2725374883685282,4944.0,1.3230210830657982e-06,0.0007412973614054299,4.325573874131349e-09,-3.923333049697957e-09,-9.753691846730051,4.0224082443339276e-10
COP(=O)(OC)OP(C)(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.4288617362062437,-1.0680106945436028,1.1521109528399835,-0.4580367062467487,0.0132360815349058,0.0109029896079075,0.2015153418308011,0.1457168243751402,-0.8142956524545409,-0.6685524960259999,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,216.068032316,186.93968547,1.0,0.0,150,50,2,0.2720711764784987,4993.0,1.3059559136112293e-06,0.0007378463409337872,4.4301263789034545e-09,-4.022372482258005e-09,-9.864706420587673,4.077538966454492e-10
CCOP(=O)(OC)OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.1123833253746644,-0.6826000933596432,1.0461217279848043,0.1172643566385582,-0.2123772501261149,0.4884233683632327,0.4353511309608795,0.4901061223260805,-0.6300628155536085,-0.3761603657609952,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,198.06571021,186.93968547,1.0,0.0,150,50,2,0.2957352445291158,3271.0,1.4326183269378114e-06,0.0007833505376476667,5.974564599863865e-09,-5.386433115429341e-09,-9.158552565177299,5.881314844345238e-10
