solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
CCO[SiH2]OCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.026437033,-0.981206162,0.8393175,-0.001811562,-0.304719979,0.510304144,0.545585211,0.515817927,-0.516775804,-0.320005876,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,150.0712208,186.9396855,1.0,0.0,150,50,2,3484.0,1.5657465726728612e-06,0.0008285196669259458,8.588986624048662e-09,-7.642922859139701e-09,-8.078655099823195,9.4606376490896e-10
COP(C)OCCC(C)(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.821261693,-1.447329981,0.951932874,-0.659125718,0.510918785,-0.018525843,1.245114966,0.061187783,-0.019063825,-0.229100045,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,194.1071811,186.9396855,1.0,0.0,150,50,2,4009.0,1.4821416402185506e-06,0.0008041980773916853,8.098503269082014e-09,-7.236475205939323e-09,-8.39470954061211,8.620280631426906e-10
CCOCC(CCOC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.343725898,-1.500069943,0.458837821,0.136503066,-1.39495355,0.178970375,0.710156411,0.338013796,-0.217532203,-0.122632046,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,162.1255944,186.9396855,1.0,0.0,150,50,2,1063.0,1.5873296118057166e-06,0.0008586506696774094,1.663876118419152e-08,-1.4481485006415452e-08,-6.71285631186285,2.1572761777760697e-09
CCOP(=O)(CC(F)(F)CCOC)OCC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.096750463,-1.198529115,0.998243778,-0.196508674,0.252059752,0.362006963,1.092517378,0.241539356,-0.244133292,-0.355381782,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,260.0989022,186.9396855,1.0,0.0,150,50,2,1206.0,1.6781282904375336e-06,0.0008799078897988524,1.530728798050977e-08,-1.3315617140284944e-08,-6.6856514999144325,1.9916708402248257e-09
COS(=O)(=O)OCCCCOP(C)(C)=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.871488914,-1.142376469,0.844405375,-0.009185145,-0.139480369,0.413053091,0.469217857,0.476029135,-1.125585913,-0.597499146,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,260.0483459,186.9396855,1.0,0.0,150,50,2,4960.0,1.3883023132101035e-06,0.000778227762599041,7.286312414900758e-09,-6.5572679149502694e-09,-8.994331505683936,7.290444999504885e-10
COCCCN1C(=O)CC(SC)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.445075286,-0.673149193,1.262403063,0.58276313,-0.599141321,0.030418363,0.954125646,0.899368977,-1.166535458,-0.254180307,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,217.0772643,186.9396855,1.0,0.0,150,50,2,3290.0,1.1500673411242375e-06,0.0007271165887302116,9.563982175137192e-09,-8.578910007712961e-09,-8.708915236276685,9.850721674242286e-10
COCCC(C)(C)CN1C(=O)N(C)C(=O)C(C)(C)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.122898067,-0.813175974,1.500146167,0.089166687,0.376984664,-0.432258378,1.498543551,1.446026634,0.2910789,-0.380939303,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,284.1736072,186.9396855,1.0,0.0,150,50,2,2524.0,9.557450561283881e-07,0.0006699954774509757,1.0575252852501833e-08,-9.382559231966433e-09,-7.866696920668194,1.1926936205354002e-09
COP(C)(=O)OCCCCCCOP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.023142345,-1.274958386,1.029668093,0.232932105,-0.309666943,0.569169333,0.439492917,0.469193104,-0.897372898,-0.457282427,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,318.0997264,186.9396855,1.0,0.0,150,50,2,3481.0,1.298784337052419e-06,0.0007566105531247856,8.86069881153659e-09,-7.91342593819612e-09,-8.35390325312511,9.472728733404698e-10
COCCCCCCCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.056102497,-1.234539014,1.070134351,0.104084934,-0.524690126,0.641671116,0.674907435,0.617806955,-0.99986276,-0.454586362,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,158.1306798,186.9396855,1.0,0.0,150,50,2,573.0,1.9654125991527695e-06,0.0009916760827663677,2.4246074572060676e-08,-2.0964979218352927e-08,-6.389628144961344,3.2810953537077485e-09
COCCCN1CCN(C)CC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.288944862,-0.940355414,0.667274893,0.71525633,-0.756309976,0.069760751,1.610163517,1.830388577,-0.528087339,-0.270892954,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,172.1575633,186.9396855,1.0,0.0,150,50,2,862.0,1.2144363424405654e-06,0.0007749774858362855,2.0141247403881893e-08,-1.7652747557775227e-08,-7.093730620636152,2.4884998461066687e-09
