solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COP(=O)(F)OC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.777001871,-0.918197603,1.300234856,-0.611953221,0.783547301,-0.198156727,0.950746462,-0.153287916,-0.247937513,-0.262999928,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,170.0508091,186.9396855,1.0,0.0,150,50,2,4058.0,1.431948154926093e-06,0.0007615904406880781,1.2076430318365962e-08,-1.0361792887958936e-08,-6.043139327419921,1.7146374304070257e-09
COP(=O)(OC)OC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.680773051,-1.06489326,1.243332521,-0.611996115,0.743502557,-0.127408165,0.962702725,-0.018438239,-0.244106227,-0.260849022,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,182.0707956,186.9396855,1.0,0.0,150,50,2,1318.0,1.5431986066173296e-06,0.0007947181749407082,1.7767140874897927e-08,-1.4792575031300103e-08,-4.973019865449694,2.9745658435978234e-09
COP(=O)(COP(C)C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.709896634,-1.102520489,1.107472882,-0.435410915,0.335351305,-0.042456477,0.655017149,0.191731779,-0.466240766,-0.350766811,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,200.0367322,186.9396855,1.0,0.0,150,50,2,424.0,1.7003599098983373e-06,0.0008463439171210446,2.8977178177213903e-08,-2.2772668623561014e-08,-3.6703414551362354,6.2045095536528875e-09
CCCOOP(C)(=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.060952992,-1.30222183,0.719708226,0.408166942,-0.342108006,0.499114376,0.294344135,0.314911105,-0.361864692,-0.286619146,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,168.0551455,186.9396855,1.0,0.0,150,50,2,2321.0,1.402835829049195e-06,0.0007369609757723846,1.4137840976256538e-08,-1.1897751224667057e-08,-5.311283271674656,2.240089751589483e-09
CCCOP(=O)(OC)OCC=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.922601107,-1.315825426,0.834508407,0.365449728,-0.261851117,0.491636177,0.292052635,0.202145985,-0.352194529,-0.283149024,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,196.0500601,186.9396855,1.0,0.0,150,50,2,4398.0,1.3611858927515518e-06,0.0007230884577987116,1.1320723874428678e-08,-9.667798590212512e-09,-5.848902356646491,1.6529252842161674e-09
CCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.084384417,-1.014022376,0.862732124,0.014254823,-0.373999805,0.614768392,0.62817065,0.548904152,-0.601820779,-0.3408054,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.0837296,186.9396855,1.0,0.0,150,50,2,2596.0,1.6804452486627286e-06,0.0008391456397755808,1.4357901879038681e-08,-1.2227447041179687e-08,-5.739359888739856,2.1304548378589946e-09
COCC#P=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.46042322,-0.825235114,0.996670998,-0.387330148,-0.217066609,0.241937399,0.305826704,-0.001339954,-0.742641936,-0.427832539,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.002716,186.9396855,1.0,0.0,150,50,2,4107.0,1.3464270993745413e-06,0.0007262402152987702,1.175097300349256e-08,-1.0046556196571035e-08,-5.894424506829918,1.7044168069215252e-09
COP(=O)(OC)OC(C)(C)C=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.63054826,-1.100570452,1.300691158,-0.613772264,0.642552754,-0.206223864,0.87185938,-0.036607319,-0.272813514,-0.335697333,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,196.0500601,186.9396855,1.0,0.0,150,50,2,890.0,1.6116183927523115e-06,0.0008198039513852353,2.0938645517779133e-08,-1.7190750948693902e-08,-4.5867754900292645,3.747894569085225e-09
COCCCB=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.732496371,-1.041917346,0.965101451,-0.121745304,-0.495901255,0.607378932,0.675443876,0.576422481,-0.803771924,-0.842554785,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,100.0695599,186.9396855,1.0,0.0,150,50,2,1308.0,1.8910943215665173e-06,0.0009526535814973203,2.1067914328394898e-08,-1.8080865576879963e-08,-6.053086869676949,2.987048751514933e-09
CCOOCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.910968161,-1.063959399,0.894235448,-0.070711835,0.291822986,0.149776135,0.504043648,0.07787226,-0.206937164,-0.286123319,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0500601,186.9396855,1.0,0.0,150,50,2,2215.0,1.3560591099135676e-06,0.0007190108064522262,1.4236635310372122e-08,-1.195231771031309e-08,-5.232336217172342,2.284317600059034e-09
